label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
aHV_P04288_027,-0.056137995,750,842,-0.050976898,699,736,-0.053557447,0.002580548
aHV_P04288_028,0.226469165,2401,2216,-0.291970845,1907,2373,-0.03275084,0.259220005
aHV_P04288_029,-0.279486126,1146,1502,-0.045778083,1404,1473,-0.162632104,0.116854022
aHV_P04288_030,-0.167629242,1057,1282,0.300052531,1238,1022,0.066211644,0.233840886
aHV_P04288_031,-0.452144551,264,390,-0.179380471,371,427,-0.315762511,0.13638204
aHV_P04288_032,-0.087454691,482,553,-0.310789041,514,648,-0.199121866,0.111667175
aHV_P04288_033,0.166074079,798,768,-0.099420336,630,686,0.033326872,0.132747207
aHV_P04288_034,0.256958402,1069,966,-0.331540518,889,1137,-0.037291058,0.29424946
aHV_P04288_035,-0.161713893,582,703,-0.090431552,621,672,-0.126072723,0.03564117
aHV_P04288_036,0.237548785,428,392,0.031009632,382,380,0.134279209,0.103269577
aHV_P04288_037,0.006241298,785,844,-0.007748293,778,795,-0.000753497,0.006994796
aHV_P04288_038,-0.624445137,167,278,-1.211519471,147,346,-0.917982304,0.293537167
aHV_P04288_039,-0.080174906,1505,1718,-0.21010374,1326,1559,-0.145139323,0.064964417
aHV_P04288_040,0.220764485,109,101,-0.531778745,98,144,-0.15550713,0.376271615
aHV_P04288_041,0.097646267,874,882,-0.499259557,797,1145,-0.200806645,0.298452912
aHV_P04289_001,0.244595947,779,710,0.187651695,725,647,0.216123821,0.028472126
aHV_P04289_002,-0.295367705,489,648,-0.075931983,575,616,-0.185649844,0.109717861
aHV_P04289_003,-0.455373262,206,305,-0.467265357,195,274,-0.46131931,0.005946047
aHV_P04290_001,-0.525077466,1123,1745,-0.350108958,1455,1885,-0.437593212,0.087484254
aHV_P04290_002,-0.482194423,777,1172,-0.563273751,825,1239,-0.522734087,0.040539664
aHV_P04290_003,0.022217469,916,974,-0.079793745,1092,1173,-0.028788138,0.051005607
aHV_P04290_004,-0.366737199,785,1093,-0.137509977,788,881,-0.252123588,0.114613611
aHV_P04290_005,-0.654132439,695,1181,-0.107117142,908,994,-0.38062479,0.273507648
aHV_P04290_006,-0.177777855,1260,1539,-0.381127756,1106,1464,-0.279452805,0.10167495
aHV_P04290_007,-0.134012026,292,346,0.039118034,370,366,-0.047446996,0.08656503
aHV_P04290_008,-0.154447034,218,262,0.189628695,193,172,0.017590831,0.172037864
aHV_P04290_009,-0.267055297,501,651,0.302037075,615,507,0.017490889,0.284546186
aHV_P04290_010,-0.068459151,514,582,0.335452624,689,555,0.133496737,0.201955887
aHV_P04290_011,-0.217441029,137,172,-0.640381509,89,141,-0.428911269,0.21147024
aHV_P04290_012,0.416350666,241,195,-0.564180542,181,272,-0.073914938,0.490265604
aHV_P04290_013,-0.156040484,822,989,-0.280755318,933,1152,-0.218397901,0.062357417
aHV_P04290_014,-0.204081694,369,459,-0.639271183,295,467,-0.421676439,0.217594744
aHV_P04290_015,-0.562246624,323,515,-0.438365554,387,533,-0.500306089,0.061940535
aHV_P04290_016,-0.165862372,492,596,-0.210575092,477,561,-0.188218732,0.02235636
aHV_P04290_017,-0.173304378,510,621,0.086367668,492,471,-0.043468355,0.129836023
aHV_P04290_018,-0.089039975,801,920,-0.136004103,890,994,-0.112522039,0.023482064
aHV_P04290_019,-0.211136452,208,260,-0.151337989,264,298,-0.18123722,0.029899231
aHV_P04290_020,-0.01074617,1206,1312,0.372081845,1090,856,0.180667838,0.191414008
